,Ranking,Artist,Title,Streams,Daily,Year,Song_ID,Acousticness,Danceability,Duration,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
0,1,Ed Sheeran,Shape of You,"3,568,884,811","957,825",2017,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,3.8952166666666668,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931
1,2,Ed Sheeran,Perfect,"2,992,732,560","1,391,839",2017,0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,4.39,0.448,0.0,0.106,-6.312,0.0232,95.05,0.168
2,3,Luis Fonsi,Despacito,"2,977,102,893","693,132",2017,6habFhsOp2NvshLv26DqMb,0.198,0.655,3.8226666666666667,0.797,0.0,0.067,-4.787,0.153,177.928,0.839
3,4,The Weeknd,Blinding Lights,"2,974,748,777","1,730,130",2019,0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,3.334,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334
4,5,Tones And I,Dance Monkey,"2,576,954,079","799,995",2019,2XU0oxnq2qxCpomAAuJY8K,0.692,0.824,3.4906333333333333,0.588,0.000104,0.149,-6.4,0.0924,98.027,0.513
5,6,Post Malone,rockstar (feat. 21 Savage),"2,442,258,154","651,617",2017,0e7ipj03S05BNilyu5bRzt,0.124,0.585,3.6357833333333334,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,0.129
6,7,Lewis Capaldi,Someone You Loved,"2,407,449,362","1,010,391",2018,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,3.036016666666667,0.405,0.0,0.105,-5.679,0.0319,109.891,0.446
7,8,Lil Nas X,Old Town Road,"2,368,821,828","735,043",2019,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,2.617783333333333,0.619,0.0,0.113,-5.56,0.102,136.041,0.639
8,9,Billie Eilish,bad guy,"2,351,448,849","745,628",2019,2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,3.2348,0.425,0.13,0.1,-10.965,0.375,135.128,0.562
9,10,The Chainsmokers,Closer,"2,342,653,508","725,751",2016,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,4.082666666666666,0.524,0.0,0.111,-5.599,0.0338,95.01,0.661
10,11,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"2,320,358,447","1,017,574",2018,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,2.634,0.479,0.0,0.0703,-5.574,0.0466,89.911,0.913
11,12,Drake,One Dance,"2,283,984,373","813,571",2016,1zi7xx7UVEFkmKfv06H8x0,0.00776,0.792,2.899783333333333,0.625,0.0018,0.329,-5.609,0.0536,103.967,0.37
12,13,Imagine Dragons,Believer,"2,183,522,446","1,134,876",2017,0pqnGHJpmpxLKifKRmU6WP,0.0622,0.776,3.4057833333333334,0.78,0.0,0.081,-4.374,0.128,124.949,0.666
13,14,Travis Scott,Goosebumps,"2,172,353,792","1,173,687",2016,6gBFPUFcJLzWGx4lenP6h2,0.0847,0.841,4.06395,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43
14,15,Shawn Mendes,Señorita,"2,111,427,951","766,734",2019,0TK2YIli7K1leLovkQiNik,0.037,0.759,3.1826666666666665,0.54,0.0,0.0945,-6.039,0.0287,116.947,0.75
15,16,James Arthur,Say You Won't Let Go,"2,031,379,529","755,648",2016,5uCax9HTNlzGybIStD3vDh,0.695,0.358,3.52445,0.557,0.0,0.0902,-7.398,0.059,85.043,0.494
16,17,John Legend,All of Me,"2,024,534,234","808,785",2013,3U4isOIWM3VvDubwSI3y7a,0.922,0.422,4.492666666666667,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331
17,18,Ed Sheeran,Thinking out Loud,"2,006,970,298","581,234",2014,34gCuhDGsG4bRPIf9bb02f,0.474,0.781,4.692666666666667,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591
18,19,Camila Cabello,Havana (feat. Young Thug),"1,991,635,257","462,969",2017,1rfofaqEpACxVEHIZBJe6W,0.184,0.765,3.621783333333333,0.523,3.56e-05,0.132,-4.333,0.03,104.988,0.394
19,20,Sia,Cheap Thrills,"1,965,179,689","617,993",2016,3S4px9f4lceWdKf0gWciFu,0.0472,0.628,3.5277833333333333,0.698,0.00143,0.0907,-5.608,0.105,89.976,0.732
20,21,Dua Lipa,Don't Start Now,"1,940,662,741","1,047,201",2019,3PfIrDoz19wz7qK7tYeu62,0.0123,0.793,3.0548333333333333,0.793,0.0,0.0951,-4.521,0.083,123.95,0.679
21,22,Juice WRLD,Lucid Dreams,"1,930,195,417","736,353",2018,285pBltuF7vW8TeWk8hdRR,0.349,0.511,3.9972666666666665,0.566,0.0,0.34,-7.23,0.2,83.903,0.218
22,23,Drake,God's Plan,"1,923,576,416","537,999",2018,6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,3.3162166666666666,0.449,8.29e-05,0.552,-9.211,0.109,77.169,0.357
23,24,The Chainsmokers,Something Just Like This,"1,917,543,009","893,220",2017,6RUKPb4LETWmmr3iAEQktW,0.0498,0.617,4.1193333333333335,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,0.446
24,25,Ed Sheeran,Photograph,"1,897,898,743","740,935",2014,1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,4.31645,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201
25,26,Queen,Bohemian Rhapsody,"1,882,588,704","911,004",1975,7tFiyTwD0nx5a1eklYtX2J,0.288,0.392,5.905333333333333,0.402,0.0,0.243,-9.961,0.0536,143.883,0.228
26,27,The Weeknd,Starboy,"1,872,671,400","759,434",2016,7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,3.840883333333333,0.587,6.35e-06,0.137,-7.015,0.276,186.003,0.486
27,28,Dua Lipa,Levitating (feat. DaBaby),"1,862,168,252","2,134,654",2020,5nujrmhLynf4yMoMtj8AQF,0.00883,0.702,3.3844,0.825,0.0,0.0674,-3.787,0.0601,102.977,0.915
28,29,Imagine Dragons,Thunder,"1,846,506,402","675,085",2017,1zB4vmk8tFRmM9UULNzbLB,0.00671,0.605,3.1191166666666668,0.822,0.134,0.147,-4.833,0.0438,167.997,0.288
29,30,Kendrick Lamar,HUMBLE.,"1,836,247,300","687,456",2017,7KXjTSCq5nL1LoYtL7XAwS,0.000282,0.908,2.95,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,0.421
30,31,XXXTENTACION,SAD!,"1,810,596,962","591,149",2018,3ee8Jmje8o58CHK66QrVC2,0.258,0.74,2.7767666666666666,0.613,0.00372,0.123,-4.88,0.145,75.023,0.473
31,32,The Chainsmokers,Don't Let Me Down,"1,801,040,912","448,067",2016,1i1fxkWeaMmKEB4T7zqbzK,0.157,0.532,3.4728833333333333,0.869,0.00508,0.136,-5.094,0.172,159.803,0.422
32,33,Dua Lipa,New Rules,"1,794,655,828","497,317",2017,2ekn2ttSfGqwhhate0LSR0,0.00261,0.762,3.4886666666666666,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,0.608
33,34,Justin Bieber,Sorry,"1,778,883,252","973,243",2015,4VHkjPgAis9JNfc1URn7zZ,8.47e-05,0.73,3.1003,0.643,0.0,0.203,-7.811,0.0984,141.961,0.492
